country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-11-2025 13:00:00",26.146529,87.454184,PM2.5,47,305,212
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-11-2025 13:00:00",26.146529,87.454184,PM10,40,158,122
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-11-2025 13:00:00",14.465052,78.824187,NH3,3,4,3
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","26-11-2025 13:00:00",13.67,79.35,PM2.5,98,203,146
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","26-11-2025 13:00:00",21.371751,81.664929,NO2,8,27,16
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","26-11-2025 13:00:00",21.371751,81.664929,SO2,4,11,6
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-11-2025 13:00:00",22.06631475,83.33820077,PM10,63,110,83
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-11-2025 13:00:00",22.06631475,83.33820077,NO2,19,64,36
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-11-2025 13:00:00",22.06631475,83.33820077,NH3,1,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-11-2025 13:00:00",22.06631475,83.33820077,CO,18,48,31
India,Delhi,Delhi,"Alipur, Delhi - DPCC","26-11-2025 13:00:00",28.815329,77.153010,PM10,148,438,334
India,Delhi,Delhi,"Alipur, Delhi - DPCC","26-11-2025 13:00:00",28.815329,77.153010,NH3,17,21,19
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","26-11-2025 13:00:00",28.647622,77.3158090,PM2.5,190,417,355
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","26-11-2025 13:00:00",21.185571,81.343175,NH3,3,4,4
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","26-11-2025 13:00:00",21.185571,81.343175,SO2,2,10,8
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","26-11-2025 13:00:00",21.185571,81.343175,OZONE,7,15,9
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","26-11-2025 13:00:00",21.224231,81.408350,NH3,3,6,4
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","26-11-2025 13:00:00",22.08815,82.13737,PM10,87,146,112
